protocol_choice,audit_issue,mechanism,city,statistic,before,after,delta,n,paired_p,direction_vs_our_claim,provenance
EnbPI outcome release: fixed row chunks vs calendar-day chunks with matured-only release,C07,"the archived schedule releases the last h-1 outcomes of each chunk before they have matured, feeding the residual pool early",belgrade,EnbPI mean PICP,0.8999,0.9032,0.0032,21,0.000451,"AGAINST US — the fix makes EnbPI slightly better, so our comparative claim mildly weakens","2026-09-03-e3-belgrade-per-facility.csv (arm A12_v1_paired, paired inside one fit)"
EnbPI outcome release: fixed row chunks vs calendar-day chunks with matured-only release,C07,"the archived schedule releases the last h-1 outcomes of each chunk before they have matured, feeding the residual pool early",birmingham,EnbPI mean PICP,0.8448,0.8471,0.0022,28,0.081918,"AGAINST US — the fix makes EnbPI slightly better, so our comparative claim mildly weakens","2026-09-03-e3-birmingham-per-facility.csv (arm A12_v1_paired, paired inside one fit)"
step-size gamma: fixed at 0.05 vs selected on a held-out calibration block,EXP-019 / D-016,a fixed step size is a tuning choice made once and applied to every facility; selecting it on calibration moves coverage toward target and slightly raises dispersion,belgrade,ACI mean PICP (across-facility sd),0.8852,0.8913,0.006,21,0.00131,HONEST TRADE — sd 0.0060 -> 0.0077,2026-09-02-core-belgrade-per-facility.csv vs -gcal-per-facility.csv
step-size gamma: fixed at 0.05 vs selected on a held-out calibration block,EXP-019 / D-016,a fixed step size is a tuning choice made once and applied to every facility; selecting it on calibration moves coverage toward target and slightly raises dispersion,belgrade,ACQR mean PICP (across-facility sd),0.8863,0.894,0.0077,21,0.000127,HONEST TRADE — sd 0.0050 -> 0.0053,2026-09-02-core-belgrade-per-facility.csv vs -gcal-per-facility.csv
step-size gamma: fixed at 0.05 vs selected on a held-out calibration block,EXP-019 / D-016,a fixed step size is a tuning choice made once and applied to every facility; selecting it on calibration moves coverage toward target and slightly raises dispersion,belgrade,split-CP mean PICP (across-facility sd),0.9008,0.9008,0.0,21,1.0,NEGATIVE CONTROL — gamma does not touch split-CP and its numbers are identical,2026-09-02-core-belgrade-per-facility.csv vs -gcal-per-facility.csv
step-size gamma: fixed at 0.05 vs selected on a held-out calibration block,EXP-019 / D-016,a fixed step size is a tuning choice made once and applied to every facility; selecting it on calibration moves coverage toward target and slightly raises dispersion,birmingham,ACI mean PICP (across-facility sd),0.8882,0.889,0.0008,28,0.949771,HONEST TRADE — sd 0.0094 -> 0.0155,2026-09-02-core-birmingham-per-facility.csv vs -gcal-per-facility.csv
step-size gamma: fixed at 0.05 vs selected on a held-out calibration block,EXP-019 / D-016,a fixed step size is a tuning choice made once and applied to every facility; selecting it on calibration moves coverage toward target and slightly raises dispersion,birmingham,ACQR mean PICP (across-facility sd),0.8913,0.8928,0.0015,28,0.506616,HONEST TRADE — sd 0.0136 -> 0.0234,2026-09-02-core-birmingham-per-facility.csv vs -gcal-per-facility.csv
step-size gamma: fixed at 0.05 vs selected on a held-out calibration block,EXP-019 / D-016,a fixed step size is a tuning choice made once and applied to every facility; selecting it on calibration moves coverage toward target and slightly raises dispersion,birmingham,split-CP mean PICP (across-facility sd),0.9066,0.9066,0.0,28,1.0,NEGATIVE CONTROL — gamma does not touch split-CP and its numbers are identical,2026-09-02-core-birmingham-per-facility.csv vs -gcal-per-facility.csv
data-quality exclusion of low-information facility-windows (< 10 distinct readings),X08 / D-018,"a stuck sensor reporting two distinct values across a 1,015-row test window inflates every dispersion statistic it enters, and it inflated the adaptive methods' more than split-CP's",belgrade,split-CP across-facility sd,0.0408,0.0411,0.0003,21,,MIXED — see the ratio row,2026-09-04-x08-before-after.csv
data-quality exclusion of low-information facility-windows (< 10 distinct readings),X08 / D-018,"a stuck sensor reporting two distinct values across a 1,015-row test window inflates every dispersion statistic it enters, and it inflated the adaptive methods' more than split-CP's",belgrade,ACQR across-facility sd,0.0066,0.0053,-0.0013,21,,MIXED — see the ratio row,2026-09-04-x08-before-after.csv
